App,Label,VIDEO,BLUETOOTH_INFORMATION,CALENDAR_INFORMATION,SMS_MMS,ACCOUNT_INFORMATION,EMAIL_INFORMATION,FILE_INFORMATION,SYNCHRONIZATION_DATA,PHONE_CONNECTION,NETWORK,AUDIO,IMAGE,ACCOUNT_SETTINGS,VOIP,FILE,DATABASE_INFORMATION,NETWORK_INFORMATION,HARDWARE_INFO,NFC,SYSTEM_SETTINGS,CONTACT_INFORMATION,VOIP_INFORMATION,PHONE_INFORMATION,EMAIL_SETTINGS,PHONE_STATE,BROWSER_INFORMATION,NO_CATEGORY,LOG,BLUETOOTH,UNIQUE_IDENTIFIER,INTER_APP_COMMUNICATION,EMAIL,ALL,LOCATION_INFORMATION
malicious-app-83-C1CB5E292BEB223CAF63226622CDD044BDF586C4C730EFFC31FB2B7B2F53C9D1.apk,1,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,260,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18
malicious-app-2-C9F77F0849974A41D6A35CB00E2A4274B4D4A3A5435A1A7CEAC645DC32805A03.apk,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,181,7,7,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7
malicious-app-88-BF1F776AFC5976EB354E9EC0839C9D6F1521C539859C916DEC5591CE9D365F8F.apk,1,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,369,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,12
benign-app-44-69AA48CAA0D324455E0F3B8F98686386639445BA2F947211AA73B25244044F65.apk,0,9,9,13,9,9,9,9,9,9,9,9,9,9,9,9,9,450,9,9,14,9,9,9,9,9,9,9,9,9,9,9,9,9,14
benign-app-9-4577C8EA4746402E326E55AFE123C7E3870B4F31EF583244BE8613AE3ABFA12E.apk,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,98,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
malicious-app-86-B50AB10475662C6CE87211984066534A5C3A1F65E666A3EE27AE56C6313F393A.apk,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,52,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
benign-app-93-CDE79A8F713CF1A10E35D317ED6996BEDBEA473647E2CEC5D7ADBBDE3BD27515.apk,0,11,11,15,11,11,11,11,11,11,11,11,11,11,11,11,11,497,11,11,16,11,11,11,11,11,11,11,11,11,11,11,11,11,18
benign-app-21-26D97DA55404AE77C352322EFDBAE62F9796F99A335C048D71022B9F0FF755BB.apk,0,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,229,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
malicious-app-12-D22BF24BD9CC27D8EAF4D7F5F0A1AB00418038798F947D779DCAB63CFDDAD566.apk,1,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,522,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,17
malicious-app-6-A6DBDC523EABBB1F951EA298E83EAD208CF1AC9839EF6B9AD89DC42FFBD38C26.apk,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,100,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10
benign-app-100-D4702B44ADBBC14415857E526DB8D252F99CD4A2CB8927981F011BCF700FF235.apk,0,7,7,13,7,7,7,7,7,7,7,7,7,7,7,7,7,119,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
benign-app-1-05E3FD6B3DA4321376C76A65D21B18D3CBC93D5AAA7AE2E86029C2C21647E8CB.apk,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,95,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
malicious-app-99-2875570F5F00B29A4CD9BB8F33FDFB93EF97063DA532DB6A9A9E195960926D35.apk,1,8,8,11,8,8,8,8,8,8,8,8,8,8,8,8,8,247,8,8,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8
benign-app-33-41CD138B96A8760A60E36AEAC076113E64F0E4FC4DC5950B3D669712DF259E86.apk,0,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,136,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12
benign-app-19-2528FC8BB788005AE524BCCD2738B380066BD38ABAF4D1388410D39E7DF8B4B8.apk,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,55,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
malicious-app-65-D0590B2F405A44B4252FA128FEAC026BAF94BF8DCB4D1B3A77E6BEA8FC7A2729.apk,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,162,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10
benign-app-79-B33B42B13EC0C076D759FA9FCF015B34C0787E58E110F87406FC31CC5D99B96E.apk,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,73,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
benign-app-6-319E1C19CF3465AACCE539A66E058860DDB35F72F32D819EEEDD1F63DA40D16B.apk,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,100,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10
benign-app-59-88EDB828BD786F95AEBBD314F6A272764E7AE8374D0CD3EA543B0709D928CD92.apk,0,8,8,10,8,8,8,8,8,8,8,8,8,8,8,8,8,135,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11
malicious-app-30-DBF52403855BEB084EC6D38BD93318CCA927302BFFCA904B77682FDE267E6210.apk,1,8,8,13,8,8,8,8,8,8,8,8,8,8,8,8,8,248,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14
benign-app-4-262D23F8C9C12873A7098E91D9D2ED70188875A884D9F0A2E4BB4DF61EE40241.apk,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,84,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,7
malicious-app-6-3617D1E16767606A8059054E556FAB99281B60C2C428A79212D606AB0E91B98C.apk,1,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,322,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,21
malicious-app-19-6E84F130A315A5CDCA428ABE9224759622DE3D36591CB3981849C76DDC111828.apk,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,151,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
benign-app-55-81091F430A6D82CE4FC51DD09D42E91DA246EC89053B79752A483C482DD33D45.apk,0,7,18,7,7,7,7,7,7,7,7,7,7,7,7,7,7,60,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
benign-app-53-7F3CA999DF536604EA27AD1C15FCF0827146964C26C9C035D21C22620BFFFDB8.apk,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,429,7,7,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7
benign-app-2-083E11AB8280522404D62963B6118DE52D81333D8640C876244687FD1FEC065D.apk,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,181,7,7,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7
benign-app-64-8E4BE8983DB5021EB3857749D71E47A465AA79A4DC207D1FBB085C63CDF679CC.apk,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,91,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
